District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Georgetown,1050000,ELA,303,53,47,8,256,45,223,39,47,8,573,99,500.4,30.5,370
Gill-Montague,6740000,ELA,112,30,11,3,101,27,182,48,85,22,379,85,487.9,30.8,227
Global Learning Charter Public (District),4960000,ELA,111,34,12,4,99,30,177,54,39,12,327,91,492.3,29.7,303
Gloucester,1070000,ELA,540,44,83,7,457,37,515,41,186,15,"1,241",99,495.9,34.2,769
Grafton,1100000,ELA,837,58,130,9,707,49,486,34,125,9,"1,448",95,503.1,39.7,948
Granby,1110000,ELA,94,32,8,3,86,29,160,54,44,15,298,99,490.9,28.1,190
Greater Commonwealth Virtual District,39010000,ELA,159,37,16,4,143,33,204,47,68,16,431,89,492.6,33.4,216
Greenfield,1140000,ELA,169,31,11,2,158,29,247,46,123,23,539,72,487.6,31.7,291
Groton-Dunstable,6730000,ELA,682,66,171,17,511,50,270,26,75,7,"1,027",97,509.2,45.3,651
Hadley,1170000,ELA,128,59,16,7,112,51,74,34,16,7,218,99,501.9,47,148
Halifax,1180000,ELA,209,60,47,14,162,47,119,34,18,5,346,96,504.8,45.4,152
Hamilton-Wenham,6750000,ELA,548,74,139,19,409,55,169,23,25,3,742,97,512.2,50.9,460
Hampden Charter School of Science East (District),4990000,ELA,105,43,17,7,88,36,97,39,44,18,246,96,493.7,32.2,221
Hampden Charter School of Science West (District),35160000,ELA,86,44,18,9,68,35,73,37,36,18,195,100,495.7,31.3,163
Hampden-Wilbraham,6800000,ELA,655,54,104,9,551,46,446,37,107,9,"1,208",97,501.3,39.2,771
Hampshire,6830000,ELA,99,45,7,3,92,42,92,42,29,13,220,87,495.4,31.4,202
Hancock,1210000,ELA,10,37,0,0,10,37,12,44,5,19,27,100,491.9,,9
Hanover,1220000,ELA,707,59,125,10,582,49,403,34,87,7,"1,197",99,504.2,42.9,769
Harvard,1250000,ELA,350,77,86,19,264,58,76,17,30,7,456,95,512.1,47.4,291
Hatfield,1270000,ELA,89,48,12,6,77,41,78,42,19,10,186,95,499.3,28.8,116
Haverhill,1280000,ELA,"1,181",32,129,3,"1,052",28,"1,634",44,917,25,"3,732",93,487.8,31.8,"2,208"
Hawlemont,6850000,ELA,19,28,0,0,19,28,32,47,17,25,68,99,486,26.5,31
Helen Y. Davis Leadership Academy Charter Public (District),4190000,ELA,39,23,3,2,36,21,83,49,46,27,168,90,485,31.8,140
Hill View Montessori Charter Public (District),4550000,ELA,72,37,5,3,67,34,98,50,27,14,197,97,492.1,33.7,124
Hilltown Cooperative Charter Public (District),4500000,ELA,94,65,21,14,73,50,41,28,10,7,145,92,507.5,45.5,93
Hingham,1310000,ELA,"1,404",77,472,26,932,51,376,21,46,3,"1,826",99,516.3,50.2,"1,145"
Holbrook,1330000,ELA,259,43,26,4,233,39,264,44,80,13,603,98,495.5,31.5,346
Holland,1350000,ELA,63,51,9,7,54,44,46,37,15,12,124,100,498.4,50.3,54
Holliston,1360000,ELA,817,61,139,10,678,51,418,31,99,7,"1,334",98,505,44.5,858
Holyoke,1370000,ELA,248,12,13,1,235,11,950,45,925,44,"2,123",95,475,27.9,"1,220"
Holyoke Community Charter (District),4530000,ELA,114,24,8,2,106,22,255,54,103,22,472,100,486.2,30.3,296
Hoosac Valley Regional,6030000,ELA,150,29,8,2,142,27,240,46,132,25,522,99,485.9,28.3,343
Hopedale,1380000,ELA,263,56,30,6,233,49,163,35,45,10,471,94,500.5,34.3,298
Hopkinton,1390000,ELA,"1,357",76,363,20,994,56,348,19,81,5,"1,786",98,513.5,44.1,"1,120"
Hudson,1410000,ELA,488,42,54,5,434,37,493,42,192,16,"1,173",98,493.2,30,699
Hull,1420000,ELA,167,50,23,7,144,44,123,37,41,12,331,93,498.3,33.1,210
Innovation Academy Charter (District),4350000,ELA,196,51,32,8,164,42,154,40,36,9,386,96,499.9,34.9,345
Ipswich,1440000,ELA,413,55,67,9,346,46,269,36,64,9,746,99,501.9,32.3,468
KIPP Academy Boston Charter School (District),4630000,ELA,80,23,2,1,78,22,185,52,89,25,354,87,483.8,26.3,215
