District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
KIPP Academy Lynn Charter (District),4290000,ELA,162,38,15,4,147,35,195,46,67,16,424,57,491.9,24.8,216
King Philip,6900000,ELA,416,56,71,10,345,47,262,35,61,8,739,99,502.9,39.3,703
Kingston,1450000,ELA,330,55,52,9,278,46,225,37,47,8,602,99,501,36.5,296
Lawrence,1490000,ELA,"1,131",18,102,2,"1,029",16,"2,717",43,"2,506",39,"6,354",98,478,27.8,"3,567"
Lawrence Family Development Charter (District),4540000,ELA,209,45,26,6,183,39,223,48,35,7,467,99,498.3,36.4,303
Learning First Charter Public School (District),4860000,ELA,107,25,8,2,99,23,212,49,112,26,431,97,485.3,36.7,277
Lee,1500000,ELA,124,43,18,6,106,37,130,45,36,12,290,99,495.7,36.3,172
Leicester,1510000,ELA,239,38,15,2,224,36,276,44,113,18,628,97,492.3,39.4,393
Lenox,1520000,ELA,203,63,38,12,165,51,103,32,17,5,323,98,505.4,36.2,204
Leominster,1530000,ELA,948,35,97,4,851,32,"1,162",44,561,21,"2,671",97,490.7,30.9,"1,617"
Leverett,1540000,ELA,34,56,7,11,27,44,24,39,3,5,61,88,503.3,31.6,27
Lexington,1550000,ELA,"2,480",75,730,22,"1,750",53,666,20,141,4,"3,287",97,514.4,48.2,"1,985"
Libertas Academy Charter School (District),35140000,ELA,54,21,3,1,51,20,102,40,96,38,252,99,479.7,36.4,200
Lincoln,1570000,ELA,379,61,77,12,302,49,197,32,41,7,617,98,505.4,52.4,281
Littleton,1580000,ELA,436,60,77,11,359,50,236,33,51,7,723,94,503.8,38.4,446
Longmeadow,1590000,ELA,793,64,150,12,643,52,360,29,86,7,"1,239",98,506.5,38,776
Lowell,1600000,ELA,"1,633",27,212,3,"1,421",23,"2,647",43,"1,876",30,"6,156",89,484.7,26.1,"3,707"
Lowell Community Charter Public (District),4560000,ELA,236,49,50,10,186,39,197,41,45,9,478,100,499.3,39.2,306
Ludlow,1610000,ELA,336,33,24,2,312,31,517,51,157,16,"1,010",95,491.2,30.2,672
Lunenburg,1620000,ELA,367,50,50,7,317,44,287,39,74,10,728,100,499.2,44.6,479
Lynn,1630000,ELA,"1,608",24,117,2,"1,491",22,"3,213",47,"2,011",29,"6,832",96,483.6,28.1,"3,893"
Lynnfield,1640000,ELA,725,70,162,16,563,54,280,27,34,3,"1,039",99,510.6,40.2,653
Malden,1650000,ELA,"1,137",41,176,6,961,34,"1,114",40,551,20,"2,802",98,493.3,37.8,"1,657"
Manchester Essex Regional,6980000,ELA,363,63,66,12,297,52,165,29,45,8,573,97,505.2,32.8,378
Mansfield,1670000,ELA,939,60,120,8,819,52,501,32,129,8,"1,569",99,502.8,41.1,"1,018"
Marblehead,1680000,ELA,792,64,131,11,661,54,350,28,88,7,"1,230",99,506.1,47.4,779
Marblehead Community Charter Public (District),4640000,ELA,99,47,12,6,87,41,84,40,27,13,210,100,497.1,33.8,130
Marion,1690000,ELA,131,57,22,10,109,47,87,38,13,6,231,100,502.4,34,117
Marlborough,1700000,ELA,741,33,105,5,636,28,980,43,543,24,"2,264",99,488.4,30.5,"1,292"
Marshfield,1710000,ELA,"1,085",65,250,15,835,50,479,29,109,7,"1,673",95,507.9,37.3,"1,056"
Martha's Vineyard Charter (District),4660000,ELA,50,59,12,14,38,45,29,34,6,7,85,89,504.8,43,58
Martin Luther King Jr. Charter School of Excellence (District),4920000,ELA,44,25,1,1,43,24,97,55,35,20,176,99,485.7,18.7,57
Masconomet,7050000,ELA,340,59,47,8,293,51,196,34,44,8,580,98,503.8,39,554
Mashpee,1720000,ELA,314,47,48,7,266,40,265,40,85,13,664,95,497.2,37.6,426
Match Charter Public School (District),4690000,ELA,144,28,10,2,134,26,256,50,115,22,515,91,486.8,28.5,312
Mattapoisett,1730000,ELA,162,72,30,13,132,59,54,24,9,4,225,100,509.6,53.4,108
Maynard,1740000,ELA,254,47,28,5,226,42,216,40,68,13,538,95,496.9,38.4,322
Medfield,1750000,ELA,825,73,162,14,663,59,268,24,35,3,"1,128",98,510.1,41.7,717
Medford,1760000,ELA,695,45,111,7,584,38,606,39,245,16,"1,546",87,496.5,40.5,897
Medway,1770000,ELA,594,62,110,11,484,50,293,31,72,8,959,97,504.9,38.2,637
Melrose,1780000,ELA,"1,055",63,267,16,788,47,507,30,117,7,"1,679",97,506.9,37.8,999
Mendon-Upton,7100000,ELA,516,50,67,7,449,44,397,39,109,11,"1,022",99,499.1,32.4,669
Methuen,1810000,ELA,"1,205",38,156,5,"1,049",33,"1,358",43,596,19,"3,159",98,492.5,36.3,"1,929"
Middleborough,1820000,ELA,568,43,68,5,500,38,531,40,214,16,"1,313",92,495,36.3,835
Middleton,1840000,ELA,217,65,48,14,169,50,100,30,18,5,335,99,507.1,38.7,156
Milford,1850000,ELA,777,39,129,6,648,33,807,41,402,20,"1,986",99,492.2,38.3,"1,152"
Millbury,1860000,ELA,324,44,35,5,289,39,301,41,111,15,736,99,495,31.3,494
Millis,1870000,ELA,320,60,62,12,258,48,176,33,39,7,535,98,504.7,45,335
Milton,1890000,ELA,"1,334",65,266,13,"1,068",52,601,29,126,6,"2,061",98,506.9,37.4,"1,214"
Mohawk Trail,7170000,ELA,128,43,13,4,115,38,136,45,37,12,301,80,495.4,35.4,179
Monomoy Regional School District,7120000,ELA,436,51,67,8,369,43,327,39,86,10,849,93,500.6,36.4,520
Monson,1910000,ELA,176,44,23,6,153,39,162,41,59,15,397,98,496.3,30.2,250
Mount Greylock,7150000,ELA,328,69,69,14,259,54,116,24,32,7,476,98,507.5,42.3,295
Mystic Valley Regional Charter (District),4700000,ELA,502,65,114,15,388,50,245,32,26,3,773,99,508,46.4,484
Nahant,1960000,ELA,42,60,8,11,34,49,24,34,4,6,70,97,504.6,25.2,32
Nantucket,1970000,ELA,276,38,35,5,241,33,333,46,118,16,727,99,492.8,40.3,436
Narragansett,7200000,ELA,226,34,17,3,209,31,331,49,113,17,670,99,490.8,34.2,429
Nashoba,7250000,ELA,959,66,209,14,750,52,419,29,74,5,"1,452",99,508.3,39.1,946
Natick,1980000,ELA,"1,614",65,349,14,"1,265",51,692,28,170,7,"2,476",99,507.5,43.4,"1,584"
Nauset,6600000,ELA,236,47,36,7,200,39,208,41,63,12,507,88,499.1,33.1,453
Needham,1990000,ELA,"1,829",72,447,17,"1,382",54,602,24,125,5,"2,556",97,511.1,48.5,"1,567"
Neighborhood House Charter (District),4440000,ELA,111,30,13,4,98,27,174,48,81,22,366,96,489.3,34,248
New Bedford,2010000,ELA,"1,710",29,169,3,"1,541",26,"2,660",45,"1,537",26,"5,907",94,486.5,28.2,"3,213"
New Heights Charter School of Brockton (District),35130000,ELA,97,28,5,1,92,26,165,47,90,26,352,98,485.8,37,301
New Salem-Wendell,7280000,ELA,29,48,7,11,22,36,28,46,4,7,61,91,499,35.6,27
Newburyport,2040000,ELA,530,59,84,9,446,49,304,34,68,8,902,98,503.5,41.1,586
Newton,2070000,ELA,"3,797",70,932,17,"2,865",53,"1,303",24,292,5,"5,392",96,510.5,45.5,"3,345"
Norfolk,2080000,ELA,314,62,55,11,259,51,178,35,18,4,510,98,505.5,39.2,245
North Adams,2090000,ELA,149,28,16,3,133,25,246,46,142,26,537,95,486.1,25.4,319
North Andover,2110000,ELA,"1,105",53,187,9,918,44,770,37,218,10,"2,093",98,501.1,37,"1,316"
North Attleborough,2120000,ELA,"1,115",58,189,10,926,48,674,35,135,7,"1,924",99,503.5,39.1,"1,220"
North Brookfield,2150000,ELA,78,34,7,3,71,31,98,43,54,23,230,94,487.8,28.5,135
North Middlesex,7350000,ELA,734,52,116,8,618,44,533,38,151,11,"1,418",98,500.1,38.1,908
North Reading,2170000,ELA,761,70,194,18,567,52,286,26,46,4,"1,093",99,510.4,43.6,705
Northampton,2100000,ELA,433,48,57,6,376,42,322,36,151,17,906,78,496.2,28.3,487
Northborough,2130000,ELA,618,59,101,10,517,50,355,34,70,7,"1,043",98,504.1,33.5,657
Northbridge,2140000,ELA,375,41,35,4,340,37,388,42,160,17,923,98,493.3,33.8,605
Norton,2180000,ELA,459,47,51,5,408,42,401,41,114,12,974,86,497.6,37.8,604
Norwell,2190000,ELA,682,67,151,15,531,52,294,29,42,4,"1,018",99,508.8,42.9,653
Norwood,2200000,ELA,652,44,88,6,564,38,609,41,234,16,"1,495",98,495.3,30.8,859
Oak Bluffs,2210000,ELA,137,49,17,6,120,43,119,42,25,9,281,100,499.7,37.3,172
Old Rochester,7400000,ELA,200,48,40,10,160,39,171,41,43,10,414,99,500.5,34.3,381
Old Sturbridge Academy Charter Public School (District),35150000,ELA,76,48,17,11,59,37,61,38,23,14,160,100,498.4,38.2,78
Orange,2230000,ELA,68,25,2,1,66,24,125,46,78,29,271,99,484.6,33.3,119
Orleans,2240000,ELA,77,75,16,16,61,60,22,22,3,3,102,99,512.4,55.9,35
Oxford,2260000,ELA,283,39,18,2,265,37,327,45,116,16,726,96,492.1,30.6,462
Palmer,2270000,ELA,199,33,23,4,176,29,284,47,119,20,602,97,490.2,32.1,351
Peabody,2290000,ELA,"1,007",37,102,4,905,33,"1,230",45,478,18,"2,715",98,491.9,33.4,"1,674"
Pelham,2300000,ELA,26,55,7,15,19,40,18,38,3,6,47,82,504.2,32.2,24
Pembroke,2310000,ELA,652,54,100,8,552,46,465,39,88,7,"1,205",98,501.5,33.3,807
Pentucket,7450000,ELA,483,48,54,5,429,43,409,41,105,11,997,99,498.3,35.5,654
Petersham,2340000,ELA,29,48,4,7,25,41,24,39,8,13,61,94,499.1,50.4,32
Pioneer Charter School of Science (District),4940000,ELA,213,56,37,10,176,47,138,37,26,7,377,99,502.9,38.9,242
Pioneer Charter School of Science II (District),35060000,ELA,77,60,13,10,64,50,32,25,19,15,128,100,502,46.8,102
Pioneer Valley,7500000,ELA,130,42,13,4,117,38,132,43,44,14,306,95,493.9,36.9,186
Pioneer Valley Chinese Immersion Charter (District),4970000,ELA,188,64,31,11,157,54,85,29,20,7,293,96,505.8,43.1,185
Pioneer Valley Performing Arts Charter Public (District),4790000,ELA,54,44,4,3,50,40,58,47,12,10,124,88,496.1,32.3,93
Pittsfield,2360000,ELA,701,33,58,3,643,30,964,45,474,22,"2,139",95,489.2,29.3,"1,208"
Plainville,2380000,ELA,213,61,51,15,162,46,106,30,30,9,349,99,505.7,40.5,164
Plymouth,2390000,ELA,"1,570",51,310,10,"1,260",41,"1,129",36,395,13,"3,094",97,499.9,40.6,"1,914"
Plympton,2400000,ELA,73,66,13,12,60,54,33,30,5,5,111,97,507,37.2,57
Prospect Hill Academy Charter (District),4870000,ELA,188,37,17,3,171,34,235,46,86,17,509,93,491.7,32.6,305
Provincetown,2420000,ELA,36,42,8,9,28,33,43,51,6,7,85,100,496.8,35.4,49
Quabbin,7530000,ELA,416,43,64,7,352,37,401,42,144,15,961,98,495.6,33.7,600
Quaboag Regional,7780000,ELA,252,47,36,7,216,40,217,41,65,12,534,98,497.8,43.9,344
